,Dates,Xt,Rt,Dt
0,2020-03-04,2.339038320103794,3.947207798941876,0.011924401220402088
1,2020-03-05,25.94212610824041,5.047918095292271,0.09973488776968428
2,2020-03-06,29.43746367523782,3.6402265886132272,0.10800600289704823
3,2020-03-07,22.950188889521996,11.138749947235887,0.1122049276181367
4,2020-03-08,31.579447191342645,5.789591015393791,0.12511545547823472
5,2020-03-09,37.111976000232254,5.813775985144483,0.14565422294365982
6,2020-03-10,43.39483357245059,9.437717755939708,0.1818889701618094
7,2020-03-11,58.920719939767885,10.31169653985575,0.23876700370090692
8,2020-03-12,72.32873005172335,5.89220674849622,0.2716187739592467
9,2020-03-13,78.61323966326239,9.549448557685029,1.3080932678391124
10,2020-03-14,80.18712183712316,17.95485522538417,1.324886753837041
11,2020-03-15,88.59155668713926,20.2098484952082,2.365867970695566
12,2020-03-16,100.53284898550032,19.490134903965043,2.3944910629410736
13,2020-03-17,112.73923556415365,22.376428507189523,2.4473544038636486
14,2020-03-18,116.98501839515902,38.66780942436206,3.521373075437842
15,2020-03-19,153.74068091364543,29.331168772774078,3.6232860272572625
16,2020-03-20,175.17252656891773,35.90750228600926,4.70887820652694
17,2020-03-21,208.6574356394738,65.40770292859594,4.932988335583817
18,2020-03-22,301.16727435246935,58.2595725798728,5.250898039147758
19,2020-03-23,378.8855948907875,53.289847522457336,8.51990641141152
20,2020-03-24,443.46115182095554,88.80563011780427,10.886652592427454
21,2020-03-25,499.8654716451757,109.34719293774218,12.123065851461302
22,2020-03-26,604.5351642740094,96.84365867784399,13.457307601817837
23,2020-03-27,655.7124896590575,119.87055595545463,18.705901170469954
24,2020-03-28,765.0508405967628,170.9612075122979,22.215383633602524
25,2020-03-29,878.6594631699714,198.37664368989795,27.708551938771905
26,2020-03-30,998.8766279477712,203.91460176353155,31.11611873066837
27,2020-03-31,1114.171522863454,273.1009108181532,45.67852418099016
28,2020-04-01,1341.042315262636,373.3265512839039,52.86045629658096
29,2020-04-02,1790.3002591715258,376.91001428668494,60.48657112917434
30,2020-04-03,2225.993761108,450.85134991074835,78.31237807819006
31,2020-04-04,2593.3508018095113,670.6472275317385,94.37863661504535
32,2020-04-05,3142.865894297493,726.6646985402972,109.45713368981046
33,2020-04-06,3741.7715651857443,759.915076489865,133.6741936691036
34,2020-04-07,4006.5960374893034,996.1364804777668,151.3166080840885
35,2020-04-08,4445.103529788837,1138.8529280959362,180.2361588976849
36,2020-04-09,4975.218858906754,1188.0662697832854,202.06605187065
37,2020-04-10,5593.826723027789,1391.9723282705304,250.90665051275033
38,2020-04-11,6166.631214241791,1720.5894945922719,275.7513310913834
39,2020-04-12,6772.265177730071,1973.9638921577678,319.3066522205705
40,2020-04-13,7437.122746926186,2072.5731750340065,363.7600849028091
41,2020-04-14,8371.84086037806,2440.5300985189497,395.2593977095543
42,2020-04-15,8995.654056584453,2869.1419605292413,435.62981068725503
43,2020-04-16,9841.230173080086,2932.16529245887,465.543769536295
44,2020-04-17,10560.452435925023,3305.517784237739,494.7104063780655
45,2020-04-18,10881.92090869575,3910.267245299953,535.200515914343
46,2020-04-19,11836.958215960365,4354.111766144864,573.9091896667535
47,2020-04-20,13045.047268436005,4771.362357226533,616.6122764430057
48,2020-04-21,13541.919608754046,5534.453687450406,652.8196674562477
49,2020-04-22,14220.395756548725,6390.005603737445,709.0026057785079
50,2020-04-23,15183.682803742406,6740.240486286745,748.5156567485654
51,2020-04-24,16019.478644289853,7601.195654341058,792.5299895255968
52,2020-04-25,16642.97265360475,8384.444490547005,855.0552666815752
53,2020-04-26,17913.41894040534,8994.827394784763,904.5530686271146
54,2020-04-27,18907.255870359397,9614.569636580121,964.4899675792992
55,2020-04-28,19580.85297311529,10511.931081572071,1026.2801497232438
56,2020-04-29,20512.66746308691,11490.791593427886,1100.1584809646513
57,2020-04-30,21549.953230707182,12145.764339833757,1175.0057196245027
58,2020-05-01,22504.881566389482,12987.281981735465,1254.4724288769557
59,2020-05-02,23448.15571435501,14449.986790058698,1337.0028343797273
60,2020-05-03,25022.060511953296,15452.738500732921,1435.6906718376804
61,2020-05-04,26861.782898398826,16549.602706774487,1583.4381300839527
62,2020-05-05,28817.431005085848,18312.52015672763,1696.5086031486426
63,2020-05-06,30116.47466383164,19953.128242021743,1830.817422380291
64,2020-05-07,32389.309853838742,21341.793998559056,1931.394764228203
65,2020-05-08,33857.9848195526,23223.52959848714,2042.5879592718318
66,2020-05-09,35515.22976049686,24943.116254690878,2148.2727743638
67,2020-05-10,37011.35846383849,26605.60088861013,2269.9809891185164
68,2020-05-11,39344.90201524937,28630.142381244917,2392.2919145868614
69,2020-05-12,40808.91596302024,30794.84457845869,2481.1657122163692
70,2020-05-13,49105.0,26400.0,2550.0
71,2020-05-14,51176.58965608182,28385.98764915647,2755.4609725012497
72,2020-05-15,53803.324319467225,30370.753021210785,2970.760224490898
73,2020-05-16,56361.05274594953,32705.3245996361,3196.782386096472
74,2020-05-17,58728.13029612834,35228.2400725473,3432.3520921860286
75,2020-05-18,61539.412102599985,37802.24609041458,3681.2379698578316
76,2020-05-19,64005.98681413078,40582.45530315828,3939.493086477032
77,2020-05-20,66355.02720385323,43394.99967113965,4206.938045707761
78,2020-05-21,68951.0111486983,46288.285076278604,4485.184048353829
79,2020-05-22,71625.07680898222,49554.31002726389,4774.53882259602
80,2020-05-23,73931.85190868026,52768.89588402194,5073.1398091461415
81,2020-05-24,76009.85399106465,56216.42463916332,5381.383943489903
82,2020-05-25,78358.79634961132,59804.735226212426,5699.667290766859
83,2020-05-26,81013.67106659098,63408.63570556445,6028.388733444849
84,2020-05-27,83494.96607486512,67336.70588895364,6367.601565735019
85,2020-05-28,86040.97062057078,71465.1868208302,6718.065374177052
86,2020-05-29,88819.4845715202,75679.19992393423,7079.871769903195
87,2020-05-30,91291.33701787454,80137.65418823624,7451.760588841005
88,2020-05-31,93660.02691007772,84771.0658554292,7833.311314077132
89,2020-06-01,96259.10661430504,89514.91228851826,8225.510298783378
90,2020-06-02,98710.9255369649,94546.30647548211,8627.70569713944
91,2020-06-03,100827.47021456431,99709.54614470077,9038.529724662076
92,2020-06-04,102871.82679287247,105004.96756025686,9457.711399528216
93,2020-06-05,104926.45886332527,110521.32215039227,9885.279592661558
94,2020-06-06,107010.59051546932,116125.63284302475,10321.34278185469
95,2020-06-07,108971.15112509888,121965.8002907964,10765.41977178451
96,2020-06-08,110968.18697227088,128004.32426627995,11217.647710222993
97,2020-06-09,113002.73426968027,134151.7638700832,11678.166390663138
98,2020-06-10,114796.97687489612,140521.6326636766,12146.001454061143
99,2020-06-11,116521.83016006625,147079.04918814337,12620.87589618293
100,2020-06-12,118324.92743087832,153759.01549680327,13103.100122909564
101,2020-06-13,119916.28475851513,160662.68678608112,13591.810363590705
102,2020-06-14,121241.86424058516,167736.518229617,14085.923526972625
103,2020-06-15,122496.60556445533,174916.7926245937,14585.151599795896
104,2020-06-16,123624.74410755927,182281.28679454402,15088.977746113136
105,2020-06-17,124614.47844797678,189777.68923084723,15596.837790913938
106,2020-06-18,125510.80200036179,197409.57007960466,16108.35136487585
107,2020-06-19,126340.25572566569,205197.45458968874,16623.245672265166
108,2020-06-20,127073.38232775396,213088.01829145566,17141.12789804011
109,2020-06-21,127630.08632992374,221119.89139752463,17661.279278755286
110,2020-06-22,128106.04744230612,229278.7397965161,18183.37061734261
111,2020-06-23,128533.95735250028,237527.58614049753,18707.205930007258
112,2020-06-24,128767.08255874296,245908.42979821464,19231.99138603665
113,2020-06-25,128809.58385232587,254395.244982999,19756.950158613094
114,2020-06-26,128750.43238773245,262941.3949839449,20281.667895284176
115,2020-06-27,128526.31431153591,271586.12798118696,20805.472261931685
116,2020-06-28,128136.95545069786,280307.6686555162,21327.689825156664
117,2020-06-29,127650.43164591122,289073.3603637395,21847.92459882983
118,2020-06-30,127047.09065590387,297903.89636953827,22365.700486812548
119,2020-07-01,126305.63647565624,306776.666183434,22880.454610872323
120,2020-07-02,125439.52489925674,315680.33312921214,23391.678936781384
121,2020-07-03,124481.37045564743,324614.2772257469,23898.998343591968
122,2020-07-04,123428.72116950522,333560.61346366565,24402.02771755232
123,2020-07-05,122237.30535331074,342522.20132207015,24900.201522263465
124,2020-07-06,120921.44118373755,351483.40877541294,25393.012571650874
125,2020-07-07,119506.79607985143,360422.4477618772,25880.058286034568
126,2020-07-08,117963.75852153367,369348.114561429,26360.815406175145
127,2020-07-09,116303.76106850672,378245.2589852025,26834.80726652107
128,2020-07-10,114563.86180217518,387090.62206012243,27301.708229538064
129,2020-07-11,112727.07741750844,395891.76873559575,27761.12344308827
130,2020-07-12,110790.71848095242,404635.7274419853,28212.64709456627
131,2020-07-13,108781.77686600256,413303.9129560301,28655.983375860982
132,2020-07-14,106707.55876537597,421897.4017003874,29090.8662548351
133,2020-07-15,104565.48953208099,430406.92736809474,29517.019206552708
134,2020-07-16,102356.01998055045,438821.4738977166,29934.16754340959
135,2020-07-17,100087.57174311341,447133.8723773714,30342.07089982354
136,2020-07-18,97765.75307222285,455335.1157437151,30740.51176644537
137,2020-07-19,95386.99095004066,463420.7222702872,31129.258072259876
138,2020-07-20,92962.57103337927,471381.1957105994,31508.1237405313
139,2020-07-21,90506.27760554703,479206.71635003993,31876.978871880296
140,2020-07-22,88014.0206338328,486896.5526741326,32235.676898150734
141,2020-07-23,85491.88989248553,494442.56317522825,32584.09606985279
142,2020-07-24,82955.87229103858,501835.00580938486,32922.1797915758
143,2020-07-25,80408.5634916778,509074.04964844766,33249.88204643938
144,2020-07-26,77852.89758688971,516154.605022412,33567.16877535524
145,2020-07-27,75297.25024148263,523069.0955181205,33874.04005396131
146,2020-07-28,72745.57399046996,529815.961090169,34170.512066311094
147,2020-07-29,70200.71943978094,536392.1979702553,34456.61261400229
148,2020-07-30,67667.42161901161,542793.5332717149,34732.38879607859
149,2020-07-31,65151.902532178654,549017.3416605231,34997.91306914065
150,2020-08-01,62658.91028342322,555061.7413105892,35253.27724051955
151,2020-08-02,60190.49566003051,560925.6474225465,35498.581475457606
152,2020-08-03,57751.924387616324,566606.8857220195,35733.947399475495
153,2020-08-04,55349.509564868895,572104.1166666194,35959.52236690418
154,2020-08-05,52985.468139988734,577418.5510361831,36175.46276716858
155,2020-08-06,50663.226887029545,582549.6807904078,36381.93895539006
156,2020-08-07,48387.449604470174,587496.915257746,36579.14029383561
157,2020-08-08,46159.78134519157,592262.3536320102,36767.262849127015
158,2020-08-09,43982.166165545925,596847.1650578576,36946.51061081895
159,2020-08-10,41857.786824259136,601251.9797463272,37117.100539686646
160,2020-08-11,39788.57189715618,605479.1703609746,37279.25745634784
161,2020-08-12,37775.86317209473,609531.1993422755,37433.211649829216
162,2020-08-13,35821.2344594178,613410.1654533793,37579.19982316581
163,2020-08-14,33926.32126292357,617118.7495904984,37717.4653448305
164,2020-08-15,32092.387235089835,620660.1915080054,37848.256733267146
165,2020-08-16,30320.1136621035,624037.9277183876,37971.825283477316
166,2020-08-17,28610.372084287043,627255.2469889668,38088.42584239433
167,2020-08-18,26963.794455078492,630315.8344675734,38198.3158324554
168,2020-08-19,25380.156493319933,633223.947285492,38301.751762047796
169,2020-08-20,23859.424952965404,635983.5255432541,38398.99000406571
170,2020-08-21,22401.634029046156,638598.5825332544,38490.287070763974
171,2020-08-22,21006.124046674944,641073.7236026641,38575.896785915764
172,2020-08-23,19672.178713919428,643413.4017084369,38656.07005407184
173,2020-08-24,18399.184475578983,645621.9404811411,38731.05527926044
174,2020-08-25,17186.190481377605,647704.0141574849,38801.09699035317
175,2020-08-26,16032.104136548276,649664.3366245055,38866.43526339032
176,2020-08-27,14935.834855796265,651507.4879768398,38927.3057297704
177,2020-08-28,13896.150424957867,653238.1167946638,38983.93899904672
178,2020-08-29,12911.636116477059,654860.9497170742,39036.559915100486
179,2020-08-30,11980.77365578928,656380.6544621118,39085.38713413867
180,2020-08-31,11102.04535260797,657801.7887123177,39130.63312707517
181,2020-09-01,10273.83900865235,659128.9148403177,39172.50379436685
182,2020-09-02,9494.401827001988,660366.5894990023,39211.197893008764
183,2020-09-03,8762.007108807518,661519.2074406445,39246.90714289591
184,2020-09-04,8074.917596054409,662591.0721751654,39279.81618378971
185,2020-09-05,7431.299291881831,663586.4696681973,39310.10218106232
186,2020-09-06,6829.341417826813,664509.5430379452,39337.93492032233
187,2020-09-07,6267.267013472544,665364.2894340005,39363.47694523904
188,2020-09-08,5743.255363659323,666154.6355296866,39386.883379221545
189,2020-09-09,5255.490184852225,666884.3869715738,39408.30194347969
190,2020-09-10,4802.198735198411,667557.1917566987,39427.87313447661
191,2020-09-11,4381.623611914099,668176.5749146405,39445.730286442624
192,2020-09-12,3992.020841058648,668745.9426410666,39461.99962610394
193,2020-09-13,3631.686063080968,669268.554927083,39476.80043412975
194,2020-09-14,3298.9645657295678,669747.5217295972,39490.24524746801
195,2020-09-15,2992.236615406311,670185.8236022562,39502.44000189974
196,2020-09-16,2709.9233392798715,670586.3080742286,39513.4841985656
197,2020-09-17,2450.509962746066,670951.6718448583,39523.47116519596
198,2020-09-18,2212.5357067156924,671284.4745727276,39532.4882761677
199,2020-09-19,1994.58442771475,671587.1501798871,39540.61713441511
200,2020-09-20,1795.302564132413,671861.9940747458,39547.93382648001
201,2020-09-21,1613.39976299708,672111.1666506401,39554.50918011637
202,2020-09-22,1447.6380507337801,672336.7068501329,39560.408977760664
203,2020-09-23,1296.8382477027199,672540.5302002478,39565.69419614446
204,2020-09-24,1159.8845247332297,672724.4282308335,39570.421264477045
205,2020-09-25,1035.718456039029,672890.0775490792,39574.64229839086
206,2020-09-26,923.3376429023898,673039.0451331038,39578.40532827787
207,2020-09-27,821.7987625684498,673172.7893318149,39581.75454005151
208,2020-09-28,730.2162505212295,673292.6645484953,39584.73051053837
209,2020-09-29,647.7580043397977,673399.9284570436,39587.3704253611
210,2020-09-30,573.6447203737323,673495.7458929004,39589.70829411787
211,2020-10-01,507.15030043169827,673581.1917638074,39591.77516721938
212,2020-10-02,447.5982905074169,673657.2572036737,39593.59933821197
213,2020-10-03,394.35896120574046,673724.8550406063,39595.206534202116
214,2020-10-04,346.8490504110376,673784.8229307943,39596.620105232185
215,2020-10-05,304.5294693692928,673837.9280024056,39597.861204307395
216,2020-10-06,266.90197218635825,673884.8722409243,39598.94895384946
217,2020-10-07,233.50769464539985,673926.2962693907,39599.90060619522
218,2020-10-08,203.92550586411033,673962.783103876,39600.7316973775
219,2020-10-09,177.76923740250413,673994.8626501135,39601.45618961334
220,2020-10-10,154.68546057727556,674023.0156470803,39602.086604733646
221,2020-10-11,134.35182083927984,674047.677026948,39602.63415082481
222,2020-10-12,116.47494057827521,674069.239470709,39603.10884032312
223,2020-10-13,100.78815931619087,674088.0569666374,39603.51959889955
224,2020-10-14,87.04974274625238,674104.4478805579,39603.87436704544
225,2020-10-15,75.04120390978451,674118.6978124514,39604.18019481629
226,2020-10-16,64.56537588762328,674131.0625223077,39604.44332872077
227,2020-10-17,55.44466932528355,674141.770607077,39604.669291508435
228,2020-10-18,47.519617887766366,674151.0258557316,39604.86295602943
229,2020-10-19,40.64734535793348,674159.0095557626,39605.02861284694
230,2020-10-20,34.70005039460559,674165.8826866426,39605.17003167429
231,2020-10-21,29.563717218772087,674171.7878554607,39605.290517557565
232,2020-10-22,25.136896878861762,674176.8510919389,39605.39296209121
233,2020-10-23,21.329491170682044,674181.1835571922,39605.479889677634
234,2020-10-24,18.061658691152466,674184.8830871218,39605.55349932843
235,2020-10-25,15.262837126049082,674188.0355798092,39605.615702480995
236,2020-10-26,12.870806379191254,674190.7162852179,39605.6681569969
237,2020-10-27,10.830813665707307,674192.9909878712,39605.7122975947
238,2020-10-28,9.094797177819878,674194.9170622997,39605.74936311873
239,2020-10-29,7.620676499955241,674196.5444281001,39605.78042091611
240,2020-10-30,6.3716873624740336,674197.9164242934,39605.80638850247
241,2020-10-31,5.315783405264699,674199.07059183,39605.82805278961
242,2020-11-01,4.425104009877684,674200.0393692997,39605.846087144404
243,2020-11-02,3.6754850877429766,674200.8507212767,39605.86106645381
244,2020-11-03,3.0460153155153806,674201.528701138,39605.87348038143
245,2020-11-04,2.5186441838662414,674202.0939476967,39605.883745026666
246,2020-11-05,2.0778303145576027,674202.5641265559,39605.892213150575
247,2020-11-06,1.7102237452418476,674202.9543231911,39605.89918310692
248,2020-11-07,1.4043848929269924,674203.2773887686,39605.90490662785
249,2020-11-08,1.150536735035391,674203.5442435783,39605.9095955996
250,2020-11-09,0.9403439369953304,674203.7641444296,39605.91342793804
251,2020-11-10,0.7667175031829853,674203.9449190125,39605.91655266809
252,2020-11-11,0.6236440241518673,674204.0931697958,39605.91909430724
253,2020-11-12,0.5060358219248837,674204.2144515984,39605.921156638324
254,2020-11-13,0.4095992014859519,674204.3134261649,39605.922825945374
255,2020-11-14,0.330719837016957,674204.3939957992,39605.92417378237
256,2020-11-15,0.26636343463068096,674204.4594185331,39605.92525933712
257,2020-11-16,0.213989308427281,674204.5124074545,39605.926131442975
258,2020-11-17,0.17147558632417959,674204.5552160153,39605.92683028566
259,2020-11-18,0.13705495583038552,674204.5897109216,39605.92738884828
260,2020-11-19,0.109259417961105,674204.6174343678,39605.92783413117
261,2020-11-20,0.08687284120711977,674204.6396570643,39605.92818817836
262,2020-11-21,0.06889048537784168,674204.6574232021,39605.9284689391
263,2020-11-22,0.05448457016445443,674204.6715884722,39605.928690989036
264,2020-11-23,0.04297499105133566,674204.6828521704,39605.92886613209
265,2020-11-24,0.03380451676266503,674204.6917842054,39605.929003901205
266,2020-11-25,0.02651788301195305,674204.6988477344,39605.9291119739
267,2020-11-26,0.020744195605591098,674204.7044180932,39605.92919651613
268,2020-11-27,0.016182151695689102,674204.7087985871,39605.92926246592
269,2020-11-28,0.012587686399431718,674204.712233611,39605.92931376659
270,2020-11-29,0.009763678763021796,674204.7149195188,39605.92935355812
