,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
0,2020-03-09,Austria,3,0,102,0,225,0.0,0.0,0.0,0.0,0.0,0.0,9,3,2020,1,11.325,0.333,0.0,0.0,0.0010002515569060627,1,0,0,1
1,2020-03-11,Austria,51,0,182,0,336,0.0,0.0,0.0,0.0,2.0,4.0,11,3,2020,3,20.208,5.6629999999999985,0.0,0.0,0.0015470840075496404,1,0,2,2
2,2020-03-12,Austria,64,0,246,0,507,0.0,0.0,0.0,0.0,3.0,7.0,12,3,2020,4,27.314,7.106,0.0,0.0,0.0011391285823806668,1,0,3,3
3,2020-03-13,Austria,115,1,361,1,713,0.0,1.0,1.0,0.0,4.0,10.0,13,3,2020,5,40.083,12.769,0.111,0.111,0.0021780951835028177,1,0,4,4
4,2020-03-14,Austria,143,0,504,1,885,0.0,2.0,2.0,0.0,5.0,13.0,14,3,2020,6,55.96,15.878,0.111,0.0,0.0025789794630674172,1,0,5,5
5,2020-03-15,Austria,151,0,655,1,700,0.0,3.0,3.0,0.0,6.0,16.0,15,3,2020,7,72.726,16.766,0.111,0.0,0.0012171310607823368,1,0,6,6
6,2020-03-16,Austria,205,0,860,1,323,1.0,4.0,4.0,0.0,9.0,20.0,16,3,2020,8,95.488,22.762,0.111,0.0,0.0021714231528241145,2,2,0,7
7,2020-03-17,Austria,156,2,1016,3,1788,2.0,6.0,5.0,0.0,12.0,24.0,17,3,2020,9,112.809,17.320999999999998,0.333,0.222,0.001921219106091871,1,0,1,8
8,2020-03-18,Austria,316,0,1332,3,1699,3.0,8.0,6.0,0.0,15.0,28.0,18,3,2020,10,147.895,35.086,0.333,0.0,0.0052783233035617145,2,2,2,9
9,2020-03-19,Austria,314,1,1646,4,1747,4.0,10.0,8.0,0.0,18.0,32.0,19,3,2020,11,182.759,34.864000000000004,0.444,0.111,0.0059110256480734025,2,2,3,10
10,2020-03-20,Austria,550,2,2196,6,1889,5.0,12.0,10.0,0.0,21.0,36.0,20,3,2020,12,243.827,61.06800000000001,0.6659999999999999,0.222,0.008736140520507335,3,1,4,11
11,2020-03-21,Austria,453,0,2649,6,2932,6.0,15.0,12.0,0.0,24.0,40.0,21,3,2020,13,294.124,50.298,0.6659999999999999,0.0,0.007637708195806598,3,1,5,12
12,2020-03-22,Austria,375,2,3024,8,2823,7.0,18.0,14.0,0.0,27.0,45.0,22,3,2020,14,335.761,41.637,0.888,0.222,0.005644951144715593,2,2,6,13
13,2020-03-23,Austria,607,8,3631,16,2061,8.0,21.0,16.0,0.0,30.0,50.0,23,3,2020,15,403.158,67.39699999999999,1.777,0.888,0.007601344643389516,3,1,0,14
14,2020-03-24,Austria,855,9,4486,25,4962,9.0,24.0,18.0,0.0,33.0,55.0,24,3,2020,16,498.09,94.932,2.776,0.999,0.015455826432939287,4,3,1,15
15,2020-03-25,Austria,796,5,5282,30,4016,10.0,27.0,20.0,0.0,36.0,61.0,25,3,2020,17,586.472,88.382,3.3310000000000004,0.555,0.008341662764356972,4,3,2,16
16,2020-03-26,Austria,606,4,5888,34,3588,11.0,30.0,22.0,0.0,39.0,67.0,26,3,2020,18,653.757,67.285,3.775,0.444,0.008377864552389919,3,1,3,17
17,2020-03-27,Austria,1141,18,7029,52,3557,12.0,34.0,24.0,0.0,42.0,73.0,27,3,2020,19,780.445,126.688,5.774,1.999,0.017462906172680818,4,3,4,18
18,2020-03-28,Austria,668,16,7697,68,3198,13.0,38.0,26.0,0.0,45.0,79.0,28,3,2020,20,854.6139999999998,74.169,7.55,1.777,0.018841746646786187,3,1,5,19
19,2020-03-29,Austria,594,0,8291,68,3691,14.0,42.0,28.0,0.0,48.0,85.0,29,3,2020,21,920.568,65.953,7.55,0.0,0.019107862737215514,3,1,6,20
20,2020-03-30,Austria,522,18,8813,86,3014,15.0,46.0,30.0,0.0,51.0,91.0,30,3,2020,22,978.526,57.959,9.549,1.999,0.0047004238664169525,3,1,0,21
21,2020-03-31,Austria,805,22,9618,108,2889,16.0,51.0,32.0,0.0,54.0,97.0,31,3,2020,23,1067.907,89.381,11.991,2.443,0.009470049814331392,4,3,1,22
22,2020-04-01,Austria,564,20,10182,128,3519,17.0,56.0,34.0,0.0,57.0,103.0,1,4,2020,24,1130.529,62.622,14.212,2.221,0.009833012231585,3,1,2,23
23,2020-04-02,Austria,529,18,10711,146,36327,18.0,61.0,36.0,0.0,60.0,109.0,2,4,2020,25,1189.265,58.736,16.211,1.999,0.00967532928897404,3,1,3,24
24,2020-04-03,Austria,418,12,11129,158,6153,19.0,66.0,38.0,0.0,63.0,115.0,3,4,2020,26,1235.677,46.411,17.543,1.332,0.004907961015110029,3,1,4,25
25,2020-04-04,Austria,396,10,11525,168,5791,20.0,71.0,40.0,0.0,66.0,121.0,4,4,2020,27,1279.646,43.969,18.653,1.11,0.0045902057545358105,2,2,5,26
26,2020-04-05,Austria,241,18,11766,186,4282,21.0,76.0,42.0,0.0,69.0,127.0,5,4,2020,28,1306.404,26.759,20.652,1.999,0.006211405500289958,2,2,6,27
27,2020-04-06,Austria,217,18,11983,204,2880,22.0,81.0,44.0,0.0,72.0,133.0,6,4,2020,29,1330.4979999999996,24.094,22.651,1.999,0.006255964058097103,2,2,0,28
28,2020-04-07,Austria,314,16,12297,220,3939,23.0,87.0,46.0,0.0,75.0,139.0,7,4,2020,30,1365.362,34.864000000000004,24.427,1.777,0.0032528892442080268,2,2,1,29
29,2020-04-08,Austria,343,23,12640,243,5520,24.0,93.0,48.0,0.0,78.0,145.0,8,4,2020,31,1403.446,38.084,26.981,2.5540000000000003,0.00424875233593433,2,2,2,30
30,2020-04-10,Austria,279,22,13248,295,8456,26.0,105.0,52.0,0.0,84.0,157.0,10,4,2020,33,1470.954,30.978,32.754,2.443,0.0021663259083459408,2,2,4,31
31,2020-04-11,Austria,312,24,13560,319,6232,27.0,111.0,54.0,0.0,87.0,163.0,11,4,2020,34,1505.596,34.642,35.41900000000001,2.665,0.0016369252862591145,2,2,5,32
32,2020-04-12,Austria,247,18,13807,337,3902,28.0,117.0,56.0,0.0,90.0,169.0,12,4,2020,35,1533.021,27.425,37.418,1.999,0.002092671561779376,2,2,6,33
33,2020-04-13,Austria,130,13,13937,350,3535,29.0,123.0,58.0,0.0,93.0,175.0,13,4,2020,36,1547.455,14.434,38.861,1.443,0.0059384318781642185,1,0,0,34
34,2020-04-14,Austria,106,18,14043,368,3384,30.0,129.0,60.0,0.0,96.0,181.0,14,4,2020,37,1559.225,11.769,40.86,1.999,0.004857299391550389,1,0,1,35
35,2020-04-15,Austria,191,16,14234,384,5005,31.0,135.0,62.0,0.0,99.0,187.0,15,4,2020,38,1580.432,21.207,42.636,1.777,0.0028215574054607576,2,2,2,36
36,2020-04-16,Austria,136,9,14370,393,6015,32.0,141.0,64.0,0.0,102.0,193.0,16,4,2020,39,1595.5320000000004,15.1,43.636,0.999,0.002775635214812854,1,0,3,37
37,2020-04-17,Austria,78,17,14448,410,6456,33.0,147.0,66.0,0.0,105.0,199.0,17,4,2020,40,1604.193,8.661,45.523,1.888,0.003638312843882982,1,0,4,38
38,2020-04-18,Austria,155,21,14603,431,6660,34.0,153.0,68.0,0.0,108.0,205.0,18,4,2020,41,1621.4029999999998,17.21,47.855,2.332,0.002582727592573761,1,0,5,39
39,2020-04-19,Austria,59,12,14662,443,3311,35.0,159.0,70.0,0.0,111.0,211.0,19,4,2020,42,1627.953,6.551,49.187,1.332,0.003273217352969677,1,0,6,40
40,2020-04-20,Austria,48,9,14710,452,3706,36.0,165.0,72.0,0.0,114.0,217.0,20,4,2020,43,1633.283,5.33,50.187,0.999,0.003789748734277871,1,0,0,41
41,2020-04-23,Austria,91,31,14924,494,4041,39.0,186.0,78.0,0.0,123.0,235.0,23,4,2020,46,1657.044,10.104,54.85,3.442,0.0013232084340393073,1,0,3,42
42,2020-04-24,Austria,61,14,14985,508,6851,40.0,193.0,80.0,0.0,126.0,241.0,24,4,2020,47,1663.817,6.773,56.404,1.554,0.0013663678271325756,1,0,4,43
43,2020-04-25,Austria,83,5,15068,513,8403,41.0,200.0,82.0,0.0,129.0,247.0,25,4,2020,48,1673.033,9.216,56.959,0.555,0.0010002515569060614,1,0,5,44
44,2020-05-01,Austria,93,4,15457,584,7680,47.0,243.0,94.0,0.0,147.0,283.0,1,5,2020,54,1716.224,10.326,64.843,0.444,0.001472486849015426,1,0,4,45
